"anho","semana","idprovincia","Incendios","Observed","Predicted","Dicot1","Dicot2","Dicot3","Dicot4"
"2015","34","10",9,3.53444444444444,112.888906951068,0,0,0,0
"2015","34","11",0,0,0,0,0,0,0
"2015","34","12",0,0,0,0,0,0,0
"2015","34","13",0,0,0,0,0,0,0
"2015","34","14",1,1.26,8.52918263077172,0,0,0,0
"2015","34","15",6,1.71166666666667,5.66953254592696,0,0,0,0
"2015","34","16",5,0.468,82.8463168018223,0,0,0,0
"2015","34","17",0,0,0,0,0,0,0
"2015","34","18",1,0.11,27.8024388534412,0,0,0,0
"2015","34","19",5,0.37,20.3988543810167,0,0,0,0
"2015","34","21",1,1.7,1.83629696525663,0,0,0,0
"2015","34","22",1,1.37,2.10302728805985,0,0,0,0
"2015","34","23",3,0.816666666666667,7.81433595697594,0,0,0,0
"2015","34","24",20,20.2545,260.435833750392,0,0,1,1
"2015","34","25",0,0,0,0,0,0,0
"2015","34","26",1,0.5,2.3148903482339,0,0,0,0
"2015","34","27",13,1.44461538461538,40.0261977593638,0,0,0,0
"2015","34","29",4,10.01,43.4713315147814,0,0,0,0
"2015","34","30",2,2.785,3.45709828517531,0,0,0,0
"2015","34","32",47,5.85255319148936,380.440094678649,1,1,1,1
"2015","34","33",12,3.4975,28.8695008670818,0,0,0,0
"2015","34","34",3,5.95,11.4544083343657,0,0,0,0
"2015","34","36",8,4.58125,7.28417394937738,0,0,0,0
"2015","34","37",8,90.81875,68.9508713764244,0,0,0,0
"2015","34","40",4,0.48,36.8298229367506,0,0,0,0
"2015","34","41",3,0.383333333333333,9.02104767841129,0,0,0,0
"2015","34","42",2,0.35,3.6450484501245,0,0,0,0
"2015","34","43",0,0,0,0,0,0,0
"2015","34","44",0,0,0,0,0,0,0
"2015","34","45",10,1.31,48.3874846078924,0,0,0,0
"2015","34","46",3,0.553333333333333,8.45095144247314,0,0,0,0
"2015","34","47",4,1.91,35.461062636783,0,0,0,0
"2015","34","49",8,5.72625,243.122081678196,0,0,0,0
"2015","34","50",0,0,0,0,0,0,0
"2015","35","2",0,0,0,0,0,0,0
"2015","35","3",2,0.34,6.15735014530865,0,0,0,0
"2015","35","4",1,0.11,6.2643894049543,0,0,0,0
"2015","35","5",2,25.05,17.7340599240406,0,0,0,0
"2015","35","6",10,1.741,55.7868473023029,0,0,0,1
"2015","35","8",0,0,0,0,0,0,0
"2015","35","9",6,12.8133333333333,49.7631866085426,0,0,0,0
"2015","35","10",8,11.85,37.221059568111,0,0,0,0
"2015","35","11",3,6.77,102.448797610667,0,0,0,0
"2015","35","12",0,0,0,0,0,0,0
"2015","35","13",3,41.1466666666667,35.2627578422695,0,0,0,0
"2015","35","14",2,1.195,3.68534667197468,0,0,0,0
"2015","35","15",0,0,0,0,0,0,0
"2015","35","16",2,0.6,14.2143486700041,0,0,0,0
"2015","35","17",0,0,0,0,0,0,0
"2015","35","18",2,0.315,9.80704623477181,0,0,0,0
"2015","35","19",2,0.185,3.53956448648319,0,0,0,0
"2015","35","21",0,0,0,0,0,0,0
"2015","35","22",1,0.59,0.668050486263331,0,0,0,0
"2015","35","23",2,3.015,7.59455746584265,0,0,0,0
"2015","35","24",14,1.53357142857143,299.87435884842,0,0,0,0
"2015","35","25",1,5.54,1.49984052337761,0,0,0,0
"2015","35","26",1,222.68,18.1919170307298,0,0,0,0
"2015","35","27",11,2.40818181818182,20.4939842563481,0,0,0,0
"2015","35","29",3,5.18333333333333,507.524378408566,0,0,0,0
"2015","35","30",2,1.47,2.39808502100479,0,0,0,0
"2015","35","32",42,96.89,190.648865315458,0,1,1,1
"2015","35","33",28,10.4632142857143,478.420555860209,0,0,0,0
"2015","35","34",5,9.436,21.91375863432,0,0,0,0
"2015","35","36",2,0.2,2.19334668684618,0,0,0,0
"2015","35","37",5,0.358,88.002290370115,0,0,0,0
"2015","35","40",1,0.84,33.8084621423664,0,0,0,0
"2015","35","41",12,3.51833333333333,38.539915455118,0,0,0,1
"2015","35","42",2,1.48,6.13044772799012,0,0,0,0
"2015","35","43",4,19.0675,11.4527801619667,0,0,0,0
"2015","35","44",0,0,0,0,0,0,0
"2015","35","45",3,1.4,26.9013523965524,0,0,0,0
"2015","35","46",0,0,0,0,0,0,0
"2015","35","47",1,1.34,3.41714232944862,0,0,0,0
"2015","35","49",7,51.14,83.2424215971909,0,0,0,0
"2015","35","50",2,0.475,482.962612770355,0,0,0,0
"2015","36","2",0,0,0,0,0,0,0
"2015","36","3",0,0,0,0,0,0,0
"2015","36","4",2,1,3.18773524609585,0,0,0,0
