"anho","semana","id_provincia","provincia","personal_tecnicos","personal_brigadas","personal_fuerzas_orden","personal_otros","medios_autobomba","medios_bulldozer","medios_tractores","medios_otros","aereos_aviones_anfibios","aereos_aviones_carga","aereos_helicopteros_exticion","aereos_helicopteros_transporte","total","totalar","totalnar","supernf","num_incendios","dist_1_nearest_buildup","dist_10_nearest_buildup","dir","prec","sol","tmax","tmed","tmin","velmedia","hrmedia","domain"
2007,28,24,"LEON",1.5,4,0,0,0.5,0,0,0,0,0,0,0.5,1,0,0.8,0.2,2,690.5,1198.03,24.96,6.53,12.27,25.12,17.51,9.88,3.51,54,"28:24"
2007,28,25,"LLEIDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.29,0.4,13.64,27.73,20.12,12.52,2.1,46,"28:25"
2007,28,26,"LA RIOJA",2.5,7,1.33,7.67,1.67,0,0,0.17,0,0,0,0.33,3.24,1.34,0.8,1.1,4,877.85,1628.1,13.6,0,10.76,29.31,21.8,14.31,5.13,42,"28:26"
2007,28,27,"LUGO",1.33,11,1.67,0,1,0,0,0,0,0,0,0.33,1.32,0.17,1.15,0,3,471.25,1330.68,20.71,21,8.46,25.07,17.8,10.53,2.17,64,"28:27"
2007,28,29,"MALAGA",6.67,58.67,0.67,5.33,3.67,0,0,0.33,0.33,0,0.33,1.33,11.12,3.29,7.66,0.17,3,1708.01,3110.37,13.87,0.13,11.41,29.18,25.12,21.14,2.54,67,"28:29"
2007,28,30,"MURCIA",2,8,1.33,3,3,0,0,0,0,0,0.33,0,1.02,0,1.02,0,3,1349.12,2432.14,8.84,1.42,10.59,30.14,25.1,20.07,3.76,60,"28:30"
2007,28,32,"OURENSE",3,22,2,0.33,1.67,0,0,0,0,0,0,2,28.97,2.5,26.47,0,3,487.99,2157,24.48,13.5,10.94,26.38,18.41,10.41,2.01,60,"28:32"
2007,28,33,"ASTURIAS",0,3,0,0,1,0,0,0,0,0,0,0,1.5,0,1.5,0,1,607.59,2953.05,21.17,20.8,7.45,21.65,18.27,14.9,3.09,81,"28:33"
2007,28,34,"PALENCIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.23,10.015,26.5,17.96,9.43,2.96,47,"28:34"
2007,28,36,"PONTEVEDRA",1,15,2,4,2,0,0,0,0,0,0,0,0.53,0.53,0,0,1,1000.29,1594.15,25.64,30.25,9.69,23.35,18.46,13.57,2.51,68,"28:36"
2007,28,37,"SALAMANCA",2.17,9.5,3,25,2.67,0,4.5,0,0,0.5,0,0.67,34.15,0,0.65,33.5,4,1858.04,3694.71,18.77,0.05,13.86,29.24,20.36,11.47,3.19,41,"28:37"
2007,28,40,"SEGOVIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,12.6,28.84,21.3,13.77,2.75,34,"28:40"
2007,28,41,"SEVILLA",2,10.67,0.67,1.33,1.33,0,0,0,0,0,0,0,7.44,1.21,1.9,4.33,3,1393.01,2623.2,23.38,0,12.64,36.87,28.22,19.56,2.5,46,"28:41"
2007,28,42,"SORIA",3,9,4,50,3,0,12,0,0,1,0,1,34.98,0,0.5,34.48,1,4575.85,7188.9,20.43,0,12.2,27.37,18.97,10.57,3.26,47,"28:42"
2007,28,43,"TARRAGONA",2.33,22.17,1,0.67,4.5,0,0,0,0,0.67,0.67,0,3.95,0.61,2.77,0.57,4,834.67,3117.23,17.96,0,12.76,28.57,23.91,19.25,3.6,62,"28:43"
2007,28,44,"TERUEL",3.33,9,0.67,2,1.33,0,0,0,0,0,0,0.33,3.4,0.2,0.7,2.5,3,3230.03,5148.07,19.43,1.6,12.13,28.76,21.58,14.38,3.3,49.5,"28:44"
2007,28,45,"TOLEDO",2.13,9.13,0.75,3.58,2.29,0,0,0.08,0,0,0,0.21,34.32,3.6,28.12,2.6,12,1548.19,2844.37,22.29,0,13.73,33.39,25.22,17.08,2.67,34,"28:45"
2007,28,46,"VALENCIA",4,87.5,12.88,6.88,7.38,0,0,0,1.25,1.5,0.25,0.88,159.75,140.05,2.94,16.76,5,902.99,1723.97,10.56,0,10.63,28.71,23.64,18.57,2.79,62,"28:46"
2007,28,47,"VALLADOLID",3,8,3,9.5,0,1.5,0,0,0,1,0,0,5.7,0.4,0.3,5,2,3835.07,5652.84,18.67,0,13.41,29.48,20.69,11.9,3.04,44,"28:47"
2007,28,49,"ZAMORA",1.83,7.5,2,15.67,1.17,0,0.17,0,0,0,0,1,4.25,0,4.25,0,4,1804.68,3937.12,19.71,0,13.23,30.25,21.75,13.24,2.62,41,"28:49"
2007,28,50,"ZARAGOZA",2.22,15.33,2.78,6.78,1.22,0,2,0.11,0,0,0,0.89,27.89,0.24,2.65,25,5,1210.45,2610.55,18.51,0.23,12.41,29.62,22.62,15.62,4.77,44,"28:50"
2007,29,2,"ALBACETE",5,8,3,4,4,0,2,0,0,0,0,0,1.5,0,0.2,1.3,1,1817.5,3589.22,23.04,0,12.95,34.29,25.55,16.8,2.96,38.5,"29:2"
2007,29,3,"ALICANTE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,9.4,29.92,24.97,20.01,2.49,61,"29:3"
2007,29,4,"ALMERIA",4.25,19.5,1.25,0,1.25,0,0,0,0,0.75,0,1.5,11.03,0,11.03,0,4,2268.63,4108.53,19.26,0,12.06,29.05,24.78,20.49,3.02,67,"29:4"
2007,29,5,"AVILA",1,7,6,8,1,0,0,0,0,0,0,0,0.5,0,0.5,0,1,381.17,2404.23,24.4,0,11.41,25.23,17.53,9.8,2.23,45.5,"29:5"
2007,29,6,"BADAJOZ",1.44,6.81,0.71,2.08,1.66,0.03,0.17,0.05,0,0,0.06,0.11,139.74,47.63,45.79,46.32,18,1982.43,3571.36,25.16,0,12.21,29.9,21.86,13.81,3.13,45.5,"29:6"
2007,29,8,"BARCELONA",1.5,13.25,4,2,2.25,0,0.5,0,0,0,1.5,0,2.91,0.1,0.66,2.15,3,284.56,930.63,11.39,0,8.22,27.06,23.67,20.28,2.73,66,"29:8"
2007,29,9,"BURGOS",1,14,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,444.4,1249.53,13.45,4.57,9.5,24.86,17.73,10.6,4.05,62,"29:9"
2007,29,10,"CACERES",1.89,8.69,2.58,4.81,0.98,0,0.14,0,0,0,0.04,0.32,34.22,3.72,30.5,0,16,1784.51,3059.29,23.75,0.23,11.81,28.9,21.69,14.47,2.69,40.5,"29:10"
2007,29,11,"CADIZ",1.75,14.5,2.63,0,1.75,0,0,0,0,0,0.13,0,3.3,0,3.3,0,5,1183.47,2576.29,27.16,0,13,25.89,21.67,17.46,3.97,64,"29:11"
2007,29,12,"CASTELLON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.71,30.15,9.5,29.43,25.21,20.99,3.54,66,"29:12"
2007,29,13,"CIUDAD REAL",5,19,1,1.5,1.5,0,0,1,0,0,0,0.5,21.75,0,6.75,15,2,1390,3045.85,22.74,0,13.21,30.8,23.51,16.24,2.76,41,"29:13"
2007,29,14,"CORDOBA",4.17,24.08,2.17,0.75,2.17,0.08,0.17,0.17,0,1.17,0.08,0.92,194.9,12.5,102.52,79.88,9,1466.61,3942.52,25.07,0,12.11,31.55,23.63,15.7,3.2,30.5,"29:14"
2007,29,15,"A CORUÑA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.69,31.77,7.33,20.24,16.24,12.23,3.79,72,"29:15"
2007,29,16,"CUENCA",2.33,6.33,1.67,5.67,1,0,0,1.83,0,0.17,0,0,24.88,0,13.41,11.47,5,756.03,2491.09,15.2,0,12.1,29.21,21.11,13.04,0.26,49,"29:16"
2007,29,17,"GIRONA",6,50,36,6,21,0,0,0,0,4,4,0,8.7,2.2,0,6.5,1,252.36,949.82,17.21,11.23,9.11,27.33,20.77,14.19,2.44,56,"29:17"
